Name,Grade,Element,โอกาสได้รับ SSR เพิ่มขึ้น,โอกาสได้รับ SP เพิ่มขึ้น
เบย์ลีฟ,SR,Grass,2%,1%
ฮาซึโบ,R,Grass,4%,2%
ยูกิคาบูริ,R,Grass,6%,3%
คิโมริ,R,Grass,8%,4%
คุไซฮานะ,R,Grass,10%,5%
จิโคริตา,R,Grass,12%,6%
เมก้ายูกิโน,SP,Grass,14%,0%
จูไคน,SR,Grass,16%,1%
จิโคริตา,R,Grass,18%,2%
คุไซฮานะ,R,Grass,20%,3%
คุไซฮานะ,R,Grass,22%,4%
ฟุชิกิบานะกิกะแมกซ์,SP,Grass,24%,0%
รุนปัปปา,SR,Grass,26%,1%
จูไคน,SR,Grass,28%,2%
ฟุชิกิดาเนะ,R,Grass,30%,3%
เมกาเนียม,SSR,Grass,0%,0%
ยูกิคาบูริ,R,Grass,2%,1%
เบย์ลีฟ,SR,Grass,4%,2%
ฟุชิกิดาเนะ,R,Grass,6%,3%
ฟุชิกิบานะ,SR,Grass,8%,4%
