double,counts,price
00,109,2027672
01,128,2847639
02,63,438052
03,58,191755
04,76,622841
05,57,560902
06,61,190720
07,61,330317
08,67,414057
09,66,574590
10,149,1662890
11,127,1465741
12,393,7165475
13,68,443541
14,73,848597
15,112,485789
16,158,342346
17,82,463350
18,62,190537
19,269,495292
20,125,2430980
21,96,2764579
22,35,431303
23,54,2064901
24,106,622055
25,53,949570
26,92,532769
27,56,401462
28,92,440556
29,80,730459
30,56,207185
31,30,87817
32,48,935936
33,51,145025
34,59,1290202
35,45,124691
36,53,209414
37,50,69558
38,56,220123
39,50,99495
40,65,342345
41,42,153429
42,37,226669
43,61,169659
44,50,454630
45,53,1540388
46,47,89094
47,54,163160
48,42,186367
49,65,834801
50,78,1062676
51,73,114092
52,47,192314
53,49,182583
54,43,237656
55,55,275674
56,40,64240
57,44,169984
58,48,159529
59,43,347023
60,63,204886
61,47,309546
62,53,283156
63,76,103347
64,51,183782
65,52,93667
66,60,422696
67,57,329496
68,50,354567
69,46,126570
70,46,491427
71,50,399116
72,46,92381
73,56,152159
74,50,148526
75,44,203711
76,46,188721
77,48,167699
78,43,77684
79,38,229824
80,32,175836
81,40,129618
82,28,68017
83,51,301498
84,36,77554
85,69,243267
86,57,335123
87,61,199837
88,50,319012
89,41,227019
90,149,560851
91,905,8135225
92,127,200676
93,82,254663
94,77,175701
95,72,597715
96,54,345532
97,45,235553
98,57,285870
99,383,378981
